20:16:26 | Trainer Initialized. Parallel Envs: 20
20:16:26 | 
=== PHASE 1: SUPERVISED LSTM PRE-TRAINING ===
20:16:26 | Collecting 10000 steps of random data...
20:16:44 | Pre-training LSTM for 5000 steps...
20:16:44 | Pretrain Loss: 0.6777
20:17:50 | Pretrain Loss: 0.0025
20:18:56 | Pretrain Loss: 0.0027
20:20:03 | Pretrain Loss: 0.0030
20:21:10 | Pretrain Loss: 0.0031
20:22:18 | Re-freezing LSTM.
20:22:18 | 
=== PHASE 2 & 3: RL TRAINING ===
20:22:18 | Step 0 | C: 2.77 | A: 0.00 | P: 0.000 | R_avg: 0.96
20:22:21 | Step 1000 | C: 0.31 | A: 0.00 | P: 0.000 | R_avg: 0.31
20:22:23 | Step 2000 | C: 0.21 | A: 0.00 | P: 0.000 | R_avg: 0.12
20:22:26 | Step 3000 | C: 0.20 | A: 0.00 | P: 0.000 | R_avg: 0.11
20:22:30 | Step 4000 | C: 0.27 | A: 0.00 | P: 0.000 | R_avg: 0.24
20:22:35 | Step 5000 | C: 0.20 | A: 0.00 | P: 0.000 | R_avg: 0.23
20:22:40 | Step 6000 | C: 0.19 | A: 0.00 | P: 0.000 | R_avg: 0.18
20:22:46 | Step 7000 | C: 0.18 | A: 0.00 | P: 0.000 | R_avg: 0.14
20:22:52 | Step 8000 | C: 0.15 | A: 0.00 | P: 0.000 | R_avg: 0.16
20:22:58 | Step 9000 | C: 0.22 | A: 0.00 | P: 0.000 | R_avg: 0.26
20:23:03 | Step 10000 | C: 0.22 | A: 0.00 | P: 0.000 | R_avg: 0.13
20:23:10 | Step 11000 | C: 0.20 | A: 0.00 | P: 0.000 | R_avg: 0.23
20:23:18 | Step 12000 | C: 0.17 | A: 0.00 | P: 0.000 | R_avg: 0.29
20:23:25 | Step 13000 | C: 0.16 | A: 0.00 | P: 0.000 | R_avg: 0.38
20:23:32 | Step 14000 | C: 0.15 | A: 0.00 | P: 0.000 | R_avg: 0.40
20:23:39 | Step 15000 | C: 0.24 | A: 0.00 | P: 0.000 | R_avg: 0.38
20:23:47 | Step 16000 | C: 0.26 | A: 0.00 | P: 0.000 | R_avg: 0.36
20:23:54 | Step 17000 | C: 0.18 | A: 0.00 | P: 0.000 | R_avg: 0.31
20:24:02 | Step 18000 | C: 0.27 | A: 0.00 | P: 0.000 | R_avg: 0.25
20:24:09 | Step 19000 | C: 0.29 | A: 0.00 | P: 0.000 | R_avg: 0.34
20:24:17 | Step 20000 | C: 0.32 | A: 0.00 | P: 0.000 | R_avg: 0.28
20:24:25 | Step 21000 | C: 0.16 | A: 0.00 | P: 0.000 | R_avg: 0.27
20:24:32 | Step 22000 | C: 0.12 | A: 0.00 | P: 0.000 | R_avg: 0.34
20:24:40 | Step 23000 | C: 0.16 | A: 0.00 | P: 0.000 | R_avg: 0.32
20:24:48 | Step 24000 | C: 0.13 | A: 0.00 | P: 0.000 | R_avg: 0.35
20:24:55 | Step 25000 | C: 0.41 | A: 0.00 | P: 0.000 | R_avg: 0.30
20:25:03 | Step 26000 | C: 0.12 | A: 0.00 | P: 0.000 | R_avg: 0.27
20:25:10 | Step 27000 | C: 0.14 | A: 0.00 | P: 0.000 | R_avg: 0.26
20:25:18 | Step 28000 | C: 0.51 | A: 0.00 | P: 0.000 | R_avg: 0.23
20:25:26 | Step 29000 | C: 0.16 | A: 0.00 | P: 0.000 | R_avg: 0.18
20:25:33 | Step 30000 | C: 0.11 | A: 0.00 | P: 0.000 | R_avg: 0.17
20:25:41 | Step 31000 | C: 0.12 | A: 0.00 | P: 0.000 | R_avg: 0.16
20:25:49 | Step 32000 | C: 0.57 | A: 0.00 | P: 0.000 | R_avg: 0.16
20:25:56 | Step 33000 | C: 0.12 | A: 0.00 | P: 0.000 | R_avg: 0.19
20:26:04 | Step 34000 | C: 0.14 | A: 0.00 | P: 0.000 | R_avg: 0.18
20:26:12 | Step 35000 | C: 0.12 | A: 0.00 | P: 0.000 | R_avg: 0.18
