20:37:53 | Trainer Initialized. Parallel Envs: 20
20:37:53 | 
=== PHASE 1: SUPERVISED LSTM PRE-TRAINING ===
20:37:53 | Collecting 10000 steps of random data...
20:38:13 | Pre-training LSTM for 5000 steps...
20:38:13 | Pretrain Loss: 0.6681
20:39:20 | Pretrain Loss: 0.0032
20:40:28 | Pretrain Loss: 0.0028
20:41:35 | Pretrain Loss: 0.0029
20:42:43 | Pretrain Loss: 0.0030
20:43:50 | Re-freezing LSTM.
20:43:50 | 
=== PHASE 2 & 3: RL TRAINING ===
21:41:36 | Step 60000 | C: 0.49 | A: -57.11 | P: 0.000 | R_avg: 0.33
21:42:56 | Step 61000 | C: 0.86 | A: -54.22 | P: 0.000 | R_avg: 0.35
21:44:17 | Step 62000 | C: 1.15 | A: -51.71 | P: 0.000 | R_avg: 0.26
21:45:37 | Step 63000 | C: 0.39 | A: -49.31 | P: 0.000 | R_avg: 0.20
21:46:58 | Step 64000 | C: 16.76 | A: -47.00 | P: 0.000 | R_avg: 0.18
21:48:18 | Step 65000 | C: 0.40 | A: -44.77 | P: 0.000 | R_avg: 0.18
21:49:36 | Step 66000 | C: 0.37 | A: -42.79 | P: 0.000 | R_avg: 0.17
21:50:58 | Step 67000 | C: 0.24 | A: -40.72 | P: 0.000 | R_avg: 0.18
21:52:17 | Step 68000 | C: 0.16 | A: -38.61 | P: 0.000 | R_avg: 0.21
21:53:35 | Step 69000 | C: 0.37 | A: -36.75 | P: 0.000 | R_avg: 0.21
21:54:56 | Step 70000 | C: 0.22 | A: -35.11 | P: 0.000 | R_avg: 0.21
21:56:16 | Step 71000 | C: 0.18 | A: -33.35 | P: 0.000 | R_avg: 0.22
21:57:36 | Step 72000 | C: 0.20 | A: -31.83 | P: 0.000 | R_avg: 0.21
21:58:55 | Step 73000 | C: 0.23 | A: -30.41 | P: 0.000 | R_avg: 0.21
22:00:13 | Step 74000 | C: 0.11 | A: -28.86 | P: 0.000 | R_avg: 0.20
22:01:32 | Step 75000 | C: 0.92 | A: -27.52 | P: 0.000 | R_avg: 0.18
22:02:53 | Step 76000 | C: 0.13 | A: -26.38 | P: 0.000 | R_avg: 0.17
22:04:12 | Step 77000 | C: 0.08 | A: -25.07 | P: 0.000 | R_avg: 0.16
22:05:33 | Step 78000 | C: 0.11 | A: -23.90 | P: 0.000 | R_avg: 0.16
22:06:52 | Step 79000 | C: 0.18 | A: -22.83 | P: 0.000 | R_avg: 0.15
